,wideClass,mass (g)
7286,L,5432.0
7287,Eucrite,57.7
7288,LL,604.3
7289,Eucrite,27.6
7290,Eucrite,2.5
7291,Eucrite,4.1
7292,Eucrite,79.4
7293,Eucrite,4.8
7294,Eucrite,12.2
7295,Eucrite,15.7
7296,Eucrite,3.9
7297,Eucrite,25.7
7298,L,216.0
7299,H,309.0
7300,L,256.0
7301,H,510.0
7302,L,14000.0
7303,H,1400.0
7304,L,2300.0
7305,LL,1000.0
7306,L,1856.0
7307,H,54.8
7308,H,68.3
7309,H,356.0
7310,L,2448.0
7311,H,10.6
7312,H,17.0
7313,H,16.9
7314,L,208.2
7315,L,222.2
7316,L,362.2
7317,L,2400.0
7318,L,1645.0
7319,H,48.7
7320,LL,79.0
7321,L,118.7
7322,L,17973.0
7323,L,3782.0
7324,R,1749.0
7325,H,1450.0
7326,H,1134.0
7327,H,1064.0
7328,H,450.0
7329,Ureilite,388.0
7330,H,554.0
7331,H,1490.0
7332,L,1940.0
7333,H,625.0
7334,L,234.0
7335,H,4652.0
7336,H,6476.0
7337,H,71.1
7338,Lunar,42.6
7339,Lunar,213.2
7340,H,175.0
7341,H,1025.0
7342,H,2118.0
7343,L,2100.0
7344,H,487.0
7345,LL,341.0
7346,H,3045.0
7347,H,2008.0
7348,H,176.0
7349,L,48.0
7350,L,231.0
7351,H,1614.0
7352,H,1045.0
7353,H,2481.0
7354,H,398.0
7355,L,500.0
7356,H,1734.0
7357,L,2808.0
7358,H,1013.0
7359,L,119.0
7360,H,380.0
7361,L,4070.0
7362,LL,67.0
7363,L,552.0
7364,H,624.0
7365,H,451.0
7366,L,454.0
7367,H,1006.0
7368,L,3954.0
7369,H,605.0
7370,H,1722.0
7371,L,432.0
7372,L,11400.0
7373,L,1780.0
7374,L,7550.0
7375,H,70.0
7376,H,26.0
7377,H,43000.0
7378,LL,605.0
7379,L,341.0
7380,H,1460.0
7381,LL,674.8
7382,L,345.0
7383,H,5300.0
7384,H,948.0
7385,Ureilite,154.0
7386,Ureilite,2800.0
7387,L,7700.0
7388,H,530.0
7389,H,231.1
7390,L,314.3
7391,H,69.7
7392,LL,1503.0
7393,H,488.0
7394,L,276.0
7395,H,510.0
7396,H,194.0
7397,L,256.0
7398,H,78.0
7399,H,36.0
7400,L,1224.0
7401,H,360.0
7402,L,315.1
7403,H,996.0
7404,H,556.0
7405,H,274.0
7406,H,1254.0
7407,H,176.0
7408,L,130.0
7409,H,110.0
7410,H,4558.0
7411,L,766.0
7412,H,240.0
7413,H,653.8
7414,L,1166.0
7415,L,2506.1
7416,H,1124.0
7417,CV,124.0
7418,L,8.6
7419,L,12.5
7420,L,129.8
7421,CM,6.18
7422,L,1967.0
7423,Ureilite,890.0
7424,H,621.0
7425,H,308.6
7426,Eucrite,223.0
7427,Lunar,86.1
7428,Lunar,2.51
7429,LL,208.0
7430,H,1357.0
7431,H,3770.0
7432,L,110.0
7433,H,88.0
7434,H,46.0
7435,H,330.0
7436,L,1078.0
7437,H,44.0
7438,L,1248.0
7439,L,16.0
7440,H,911.0
7441,H,144.0
7442,CO,390.0
7443,H,1540.0
7444,L,122.2
7445,H,11.8
7446,H,48.5
7447,L,66.9
7448,H,444.0
7449,LL,262.0
7450,L,143.0
7451,H,92.0
7452,H,930.0
7453,L,2170.0
7454,L,800.0
7455,H,2724.0
7456,L,50000.0
7457,L,1218.0
7458,L,420.0
7459,H,883.0
7460,LL,3150.0
7461,L,3695.0
7462,H,97.0
7463,L,256.0
7464,H,63.0
7465,H,545.0
7466,H,422.0
7467,H,2266.0
7468,L,3687.0
7469,L,1300.0
7470,Martian,6.1
7471,Lunar,3.3
7472,H,3636.0
7473,H,590.1
7474,H,404.4
7475,CV,40.8
7476,L,7.49
7477,Lunar,15.1
7478,Martian,49.2
7479,Eucrite,168.0
7480,H,13.23
7481,H,4388.0
7482,H,13.02
7483,H,184.3
7484,LL,1452.0
7485,H,29.2
7486,H,153.0
7487,L,9.22
7488,H,318.6
7489,H,199.9
7490,H,769.3
7491,H,188.6
7492,L,394.6
7493,L,52.5
7494,H,22.3
7495,H,243.1
7496,H,700.5
7497,H,105.5
7498,L,1568.0
7499,L,1049.0
7500,H,740.0
7501,H,326.0
7502,H,936.0
7503,H,387.0
7504,H,450.0
7505,H,172.0
7506,H,176.2
7507,L,39000.0
7508,H,984.0
7509,H,537.0
7510,H,193.0
7511,L,128.0
7512,L,319.0
7513,L,589.0
7514,L,463.0
7515,H,124.0
7516,H,800.0
7517,LL,295.0
7518,L,240.0
7519,L,73.0
7520,L,562.0
7521,H,1201.4
7522,H,81.0
7523,H,1540.0
7524,L,211.0
7525,H,75.0
7526,L,461.0
7527,H,67.3
7528,L,168.0
7529,H,238.0
7530,H,25000.0
7531,H,536.0
7532,H,1768.0
7533,L,263.0
7534,H,1050.0
7535,H,453.0
7536,L,1140.0
7537,H,482.0
7538,H,293.1
7539,H,1763.0
7540,H,2222.0
7541,L,782.0
7542,L,7700.0
7545,H,312.9
7556,H,173.0
7560,LL,21.5
7561,Howardite,580.0
7562,H,312.0
7563,H,21.5
7564,L,233.9
